aa_objects.object_number,aa_tracks.track_num,aa_detections.image_file,aa_detections.mid_det_utc,aa_detections.mid_det_et,aa_detections.ra,aa_detections.dec,aa_detections.ra_sig,aa_detections.dec_sig,aa_detections.mag,aa_detections.mag_sig,aa_detections.snr,aa_detections.psf_fit_quality,aa_detections.is_saturated,aa_detections.q_code,aa_detections.possible_hot_pixel,aa_detections.possible_star,aa_detections.occulting
3,38,20190118T083334S981_ncm_L0.fits,2019-01-18T08:33:37.481Z,601072486.665413,313.509062953885,22.9115870387278,0.0044389037214543296,0.00361392742992478,4.799465454247669,0.168898628188003,7.05258628779658,1.47439968504629,0,4,0,0,0
3,38,20190118T082618S875_ncm_L0.fits,2019-01-18T08:26:21.375Z,601072050.559413,315.395335570374,22.7870764892667,0.00361063048371189,0.00323037587079233,4.89051847366727,0.18163800836872798,6.46935386435022,1.00335399315672,0,4,0,0,0
3,10,20190120T205618S973_ncm_L0.fits,2019-01-20T20:56:21.473Z,601289850.657483,315.076272785522,23.403667387961498,0.00601372142218257,0.00587735894935632,5.03603390296186,0.22220185283337202,5.14408092572308,2.1658786800702496,0,4,0,0,0
3,28,20190120T102619S469_ncm_L0.fits,2019-01-20T10:26:21.969Z,601252051.153471,345.05064152396903,-24.668697466000197,0.00294902927313174,0.0026214531743857603,3.92219685147576,0.118264932094164,11.344848191050799,2.9589427494389,0,5,0,0,0
3,28,20190120T100334S542_ncm_L0.fits,2019-01-20T10:03:37.042Z,601250686.226471,342.072476977584,-27.215468136957004,0.00225486251489254,0.00196621898133292,4.29204763212528,0.105792639248584,13.6096396408359,1.02283548894363,0,5,0,0,0
3,28,20190120T095619S217_ncm_L0.fits,2019-01-20T09:56:21.717Z,601250250.901471,341.615972147347,-27.811938220320098,0.00224693546483659,0.00199976329619243,4.2491102297182,0.104059637041054,14.0160106373203,1.14411848483981,0,5,0,0,0
3,28,20190120T093334S904_ncm_L0.fits,2019-01-20T09:33:37.404Z,601248886.58847,341.468676356474,-29.3280943771712,0.0022516109343971302,0.00195735468863789,4.404066473440549,0.10519590743046602,13.7462965161185,1.03427493589933,0,5,0,0,0
3,28,20190120T092619S376_ncm_L0.fits,2019-01-20T09:26:21.876Z,601248451.06047,341.728754089037,-29.6993871946279,0.00261487151747205,0.00220846327097847,4.52180043991158,0.112400490559441,12.288616643121799,0.627832934277315,0,5,0,0,0
3,28,20190120T090335S059_ncm_L0.fits,2019-01-20T09:03:37.559Z,601247086.74347,343.304607491166,-30.715842350212398,0.00292317687914594,0.00242162937926943,4.71551996935397,0.125556825272468,10.381809673903598,1.3116576163469298,0,4,0,0,0
3,28,20190120T085619S031_ncm_L0.fits,2019-01-20T08:56:21.531Z,601246650.715469,343.982833917204,-30.9796499301806,0.0031454376250264903,0.00266437361664006,4.67483060386514,0.125325575828454,10.409456962418199,0.853447684161723,0,4,0,0,0
3,28,20190120T083334S702_ncm_L0.fits,2019-01-20T08:33:37.202Z,601245286.386469,346.579980944968,-31.754097945043398,0.0034612257773245503,0.00287868185564426,4.62704626465835,0.127624637956861,10.1418975592521,1.4578923718884,0,4,0,0,0
